model,vendor,tier,release_date,launch_price_in,launch_price_out,current_price_in,current_price_out,metr_horizon_min_p50,metr_horizon_min_p80,metr_key,metr_source,aa_intel,aa_version,aa_source,notes,source_url
gpt-5.4-nano,OpenAI,bottom,2026-03-17,0.2,1.25,0.2,1.25,,,,,38.2,2026-08-01,https://openrouter.ai/api/v1/models,The bottom of OpenAI's 5.4 lineup; GPT-5-nano stayed cheaper at $0.05/$0.40.,https://web.archive.org/web/20260317175220/https://openai.com/index/introducing-gpt-5-4-mini-and-nano/
claude-mythos-preview-early,Anthropic,frontier,2026-04-07,,,10,50,1044.78,185.912,claude_mythos_preview_early_inspect,https://metr.org/assets/benchmark_results_1_1.yaml,,,,"The only METR-measured model in the Fable 5 / Mythos 5 family, and an early preview rather than the shipped model. Used as the provisional METR proxy for Fable 5. Price shown is the Mythos 5 GA price.",https://metr.org/assets/benchmark_results_1_1.yaml
claude-opus-4.7,Anthropic,frontier,2026-04-16,5,25,5,25,,,,,53.5,2026-08-01,https://openrouter.ai/api/v1/models,Named by METR as not yet measured. AA index is the highest-scoring published configuration; the non-reasoning figure is 42.7.,https://www.anthropic.com/news/claude-opus-4-7
gpt-5.5,OpenAI,frontier,2026-04-23,5,30,5,30,,,,,54.8,2026-08-01,https://openrouter.ai/api/v1/models,Date is the announcement; API availability followed. Named by METR as not yet measured.,https://web.archive.org/web/20260423180657/https://openai.com/index/introducing-gpt-5-5/
claude-opus-4.8,Anthropic,frontier,2026-05-27,,,5,25,,,,,55.7,2026-08-01,https://openrouter.ai/api/v1/models,Release date and price from the OpenRouter listing; no vendor announcement verified in this snapshot.,https://openrouter.ai/api/v1/models
claude-fable-5,Anthropic,frontier,2026-06-09,10,50,10,50,,,,,59.9,2026-08-01,https://openrouter.ai/api/v1/models,"The wager baseline. No METR horizon published; see claude-mythos-preview-early, which Anthropic describes as the same underlying model.",https://www.anthropic.com/news/claude-fable-5-mythos-5
gpt-5.6-sol,OpenAI,frontier,2026-07-09,5,30,5,30,,,,,58.9,2026-08-01,https://openrouter.ai/api/v1/models,Price unchanged in the 2026-07-30 cut.,https://web.archive.org/web/20260801002141/https://openai.com/index/gpt-5-6/
gpt-5.6-luna,OpenAI,bottom,2026-07-09,1,6,0.2,1.2,,,,,51.2,2026-08-01,https://openrouter.ai/api/v1/models,"Cut 80% on 2026-07-30, three weeks after launch, per the update banner on OpenAI's GPT-5.6 post: https://web.archive.org/web/20260801002141/https://openai.com/index/gpt-5-6/ . OpenRouter lists $0.10/$0.60 for Luna and $1/$6 for Terra — exactly half the official rate in both cases, with no cause stated by either party. The official rate is canonical here.",https://developers.openai.com/api/docs/pricing
gemini-3.5-flash-lite,Google,bottom,2026-07-21,0.3,2.5,0.3,2.5,,,,,36.5,2026-08-01,https://openrouter.ai/api/v1/models,Output price includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
claude-opus-5,Anthropic,frontier,2026-07-24,5,25,5,25,,,,,60.7,2026-08-01,https://openrouter.ai/api/v1/models,Shipped at Opus 4.8's price while scoring above Fable 5 on the AA index.,https://www.anthropic.com/news/claude-opus-5
